seed,observation_space,environment,architecture,intervention,probe_loss,initial_probe_loss,plasticity_loss,last_training_loss
0,mnist,hard,mlp,z_loss,0.11113679856061935,0.000876451741604073,0.11026034681901528,0.13783857226371765
12,mnist,hard,mlp,z_loss,0.22758154273033143,0.00024946392820560624,0.22733207880212583,0.22665822505950928
20,mnist,hard,mlp,z_loss,0.20382741540670396,3.8346811724149826e-05,0.2037890685949798,0.23471969366073608
42,mnist,hard,mlp,z_loss,0.1111103817820549,0.00019042739211843108,0.11091995438993647,0.17794042825698853
