seed,observation_space,environment,architecture,intervention,probe_loss,initial_probe_loss,plasticity_loss,last_training_loss
0,mnist,hard,mlp,z_loss,0.009711402608081699,0.000876451741604073,0.008834950866477625,2.1615676879882812
12,mnist,hard,mlp,z_loss,0.04788273610174656,0.00024946392820560624,0.04763327217354095,0.16660049557685852
20,mnist,hard,mlp,z_loss,0.021213133260607718,3.8346811724149826e-05,0.021174786448883567,0.15649951994419098
42,mnist,hard,mlp,z_loss,0.05692615769803524,0.00019042739211843108,0.05673573030591681,0.20649315416812897
