seed,observation_space,environment,architecture,intervention,probe_loss,initial_probe_loss,plasticity_loss,last_training_loss
20,mnist,easy,mlp,neither,0.031967473961412904,0.000752758364605002,0.031214715596807902,0.06927798688411713
20,mnist,easy,mlp,two_hot,0.4376012235879898,0.0004491694147873204,0.43715205417320246,0.3263356387615204
20,mnist,easy,mlp,reset_last_layer,0.03125427607446909,0.000752758364605002,0.030501517709864086,0.004021510481834412
20,mnist,easy,mlp,weight_decay,0.00031366659022751263,0.0010931406128293019,-0.0007794740226017892,0.03308407962322235
20,mnist,easy,mlp,spectral_norm,7.59594160043009e-05,46.47086296081543,-46.47078700139943,0.00434114271774888
20,mnist,easy,mlp,layernorm,4.075510536552061e-05,6.955979786651121e-15,4.075510535856463e-05,0.0012763896957039833
20,mnist,easy,mlp,shrink_and_perturb,3.105870710804481e-05,4.861429929260523e-06,2.619727717878429e-05,0.0004713691887445748
20,mnist,easy,mlp,z_loss,0.12025769352912903,0.000752758364605002,0.11950493516452403,0.419748455286026
42,mnist,easy,mlp,neither,0.08130422607064247,3.4516549549343877e-05,0.08126970952109312,0.09036506712436676
42,mnist,easy,mlp,two_hot,0.4253360390663147,0.0002969230896269437,0.42503911597668775,0.28187844157218933
42,mnist,easy,mlp,reset_last_layer,0.02337364973500371,3.4516549549343877e-05,0.023339133185454365,0.012582419440150261
42,mnist,easy,mlp,weight_decay,0.000330856526579737,0.0018874887391575612,-0.0015566322125778243,0.027441423386335373
42,mnist,easy,mlp,spectral_norm,6.848355052255784e-05,2.8159564971923827,-2.8158880136418603,0.005377976689487696
42,mnist,easy,mlp,layernorm,1.0184254001996407e-07,0.012236360637849823,-0.012236258795309804,0.0019044243963435292
42,mnist,easy,mlp,shrink_and_perturb,0.0001047102065909189,0.00021291237511865223,-0.00010820216852773333,0.0003301890683360398
42,mnist,easy,mlp,z_loss,0.14340301007032394,3.4516549549343877e-05,0.1433684935207746,0.42161646485328674
