seed,observation_space,environment,architecture,intervention,probe_loss,initial_probe_loss,plasticity_loss,last_training_loss
12,mnist,hard,vit,neither,0.017641006596386434,0.013599172979593278,0.004041833616793156,0.032467350363731384
12,mnist,hard,vit,two_hot,0.09761240854859352,0.044241785630583765,0.05337062291800975,0.6418238878250122
12,mnist,hard,vit,reset_last_layer,0.017695240303874017,0.01371665708720684,0.003978583216667176,0.03029579482972622
12,mnist,hard,vit,weight_decay,0.4973076283931732,0.025606447458267213,0.471701180934906,0.06977111846208572
