seed,observation_space,environment,architecture,width,hidden_dim,cnn_channels,cnn_fc_dim,probe_loss,initial_probe_loss,plasticity_loss
0,mnist,easy,mlp,32,32,64,256,0.30910472571849823,0.27281099557876587,0.03629373013973236
0,mnist,easy,mlp,64,64,64,256,0.2539062201976776,0.11970789358019829,0.13419832661747932
0,mnist,easy,cnn,16,512,16,64,0.17789076268672943,0.10273845493793488,0.07515230774879456
0,mnist,easy,cnn,32,512,32,128,0.045542119070887566,0.014592078980058432,0.030950040090829134
