seed,observation_space,environment,architecture,intervention,probe_loss,initial_probe_loss,plasticity_loss,last_training_loss
0,mnist,easy,mlp,neither,0.05814514420926571,6.828797400436388e-08,0.05814507592129171,0.07351164519786835
0,mnist,easy,mlp,two_hot,0.36499000787734986,0.0002858039863895101,0.36470420389096037,0.3055057227611542
0,mnist,easy,mlp,reset_last_layer,0.03490821979939938,6.828797400436388e-08,0.03490815151142537,0.01898026280105114
0,mnist,easy,mlp,weight_decay,0.00046983369702502387,0.0011117258543890784,-0.0006418921573640545,0.03854186087846756
0,mnist,easy,mlp,spectral_norm,5.740957976407834e-06,577.8751708984375,-577.8751651574796,0.004920292645692825
0,mnist,easy,mlp,layernorm,3.7598363284568895e-08,7.235233208591944e-15,3.7598356049335683e-08,0.0018562234472483397
0,mnist,easy,mlp,shrink_and_perturb,0.0001969995464122576,8.29040933660999e-07,0.0001961705054785966,0.0005476154037751257
0,mnist,easy,mlp,z_loss,0.136452566832304,6.828797400436388e-08,0.13645249854433,0.41640961170196533
