run_id,seed,observation_space,environment,architecture,optimizer,step,probe_loss,initial_probe_loss,plasticity_loss,weight_norm,weight_rank,dead_units,feature_rank
mnist_easy_mlp_adam_seed1468,1468,mnist,easy,mlp,adam,0,0.0008719392076162791,0.0008719392076162791,0.0,18.580720219636977,344.6666666666667,3.0,417
mnist_easy_mlp_adam_seed1468,1468,mnist,easy,mlp,adam,5000,2.902090519490751e-05,0.0008719392076162791,-0.0008429183024213716,47.84797970465248,344.6666666666667,344.0,331
mnist_easy_mlp_adam_seed1468,1468,mnist,easy,mlp,adam,10000,7.695929316054991e-10,0.0008719392076162791,-0.0008719384380233475,64.15531068198791,344.6666666666667,356.0,341
mnist_easy_mlp_adam_seed1468,1468,mnist,easy,mlp,adam,15000,5.62550548377787e-10,0.0008719392076162791,-0.0008719386450657307,76.49733428892,344.6666666666667,360.0,345
mnist_easy_mlp_adam_seed1468,1468,mnist,easy,mlp,adam,20000,8.642289373288897e-10,0.0008719392076162791,-0.0008719383433873417,86.51567730618714,344.6666666666667,358.0,347
mnist_easy_mlp_adam_seed1468,1468,mnist,easy,mlp,adam,25000,8.348877307811503e-13,0.0008719392076162791,-0.0008719392067813913,95.27081285953754,344.6666666666667,354.0,352
mnist_easy_mlp_adam_seed1468,1468,mnist,easy,mlp,adam,30000,1.0711432012634053e-12,0.0008719392076162791,-0.0008719392065451359,102.66884646421339,344.6666666666667,354.0,352
mnist_easy_mlp_adam_seed1468,1468,mnist,easy,mlp,adam,35000,4.427605114140643e-12,0.0008719392076162791,-0.000871939203188674,109.18503024491139,344.6666666666667,353.0,352
mnist_easy_mlp_adam_seed1468,1468,mnist,easy,mlp,adam,40000,4.567368770518054e-12,0.0008719392076162791,-0.0008719392030489103,115.02497728526225,344.6666666666667,347.0,357
mnist_easy_mlp_adam_seed1468,1468,mnist,easy,mlp,adam,45000,1.443822860748567e-12,0.0008719392076162791,-0.0008719392061724562,120.42084961768059,344.6666666666667,338.0,362
mnist_easy_mlp_adam_seed1468,1468,mnist,easy,mlp,adam,50000,1.2012845332387036e-08,0.0008719392076162791,-0.0008719271947709466,125.10904042863947,344.6666666666667,333.0,364
mnist_easy_mlp_adam_seed8200,8200,mnist,easy,mlp,adam,0,0.0011790284434825883,0.0011790284434825883,0.0,18.572277181001265,344.6666666666667,3.0,419
mnist_easy_mlp_adam_seed8200,8200,mnist,easy,mlp,adam,5000,0.00017845680035394218,0.0011790284434825883,-0.001000571643128646,45.93811532017184,344.6666666666667,381.0,338
mnist_easy_mlp_adam_seed8200,8200,mnist,easy,mlp,adam,10000,1.9386770522287555e-09,0.0011790284434825883,-0.001179026504805536,61.53079906780797,344.6666666666667,396.0,351
mnist_easy_mlp_adam_seed8200,8200,mnist,easy,mlp,adam,15000,2.225231924502457e-08,0.0011790284434825883,-0.0011790061911633432,73.32924366668107,344.6666666666667,396.0,356
mnist_easy_mlp_adam_seed8200,8200,mnist,easy,mlp,adam,20000,5.538458998728405e-06,0.0011790284434825883,-0.0011734899844838599,82.75735974068691,344.6666666666667,394.0,358
mnist_easy_mlp_adam_seed8200,8200,mnist,easy,mlp,adam,25000,1.2068568366885301e-12,0.0011790284434825883,-0.0011790284422757314,90.99138398567779,344.6666666666667,391.0,360
mnist_easy_mlp_adam_seed8200,8200,mnist,easy,mlp,adam,30000,1.9124115355553807e-11,0.0011790284434825883,-0.001179028424358473,98.58769587989096,344.6666666666667,391.0,360
mnist_easy_mlp_adam_seed8200,8200,mnist,easy,mlp,adam,35000,3.915708361994664e-09,0.0011790284434825883,-0.0011790245277742263,104.99745706249124,344.6666666666667,388.0,363
mnist_easy_mlp_adam_seed8200,8200,mnist,easy,mlp,adam,40000,8.908003328034208e-12,0.0011790284434825883,-0.001179028434574585,110.9369380711038,344.6666666666667,389.0,361
mnist_easy_mlp_adam_seed8200,8200,mnist,easy,mlp,adam,45000,2.622924521458389e-10,0.0011790284434825883,-0.0011790281811901362,116.02723288677664,344.6666666666667,384.0,365
mnist_easy_mlp_adam_seed8200,8200,mnist,easy,mlp,adam,50000,0.0005952340225275083,0.0011790284434825883,-0.0005837944209550799,120.61097664429978,344.6666666666667,380.0,367
