run_id,seed,observation_space,environment,architecture,optimizer,step,probe_loss,initial_probe_loss,plasticity_loss,weight_norm,weight_rank,dead_units,feature_rank
mnist_easy_mlp_adam_seed0,0,mnist,easy,mlp,adam,0,0.23689348995685577,0.23689348995685577,0.0,9.452215990191077,88.66666666666667,9.0,119
mnist_easy_mlp_adam_seed0,0,mnist,easy,mlp,adam,500,0.28224942088127136,0.23689348995685577,0.04535593092441559,13.348783827219158,88.66666666666667,33.0,113
mnist_easy_mlp_adam_seed0,0,mnist,easy,mlp,adam,1000,0.28798389434814453,0.23689348995685577,0.05109040439128876,16.58009100235066,88.66666666666667,34.0,112
mnist_hard_mlp_adam_seed1,1,mnist,hard,mlp,adam,0,0.23190587759017944,0.23190587759017944,0.0,9.449521962907514,88.66666666666667,6.0,122
mnist_hard_mlp_adam_seed1,1,mnist,hard,mlp,adam,500,0.2896784693002701,0.23190587759017944,0.05777259171009064,13.577705969589127,88.66666666666667,43.0,116
mnist_hard_mlp_adam_seed1,1,mnist,hard,mlp,adam,1000,0.26366126537323,0.23190587759017944,0.03175538778305054,16.154990555493878,88.66666666666667,44.0,116
mnist_sparse_mlp_adam_seed2,2,mnist,sparse,mlp,adam,0,0.22318116575479507,0.22318116575479507,0.0,9.397130998648556,88.66666666666667,11.0,117
mnist_sparse_mlp_adam_seed2,2,mnist,sparse,mlp,adam,500,0.334673672914505,0.22318116575479507,0.11149250715970993,12.75580341065162,88.66666666666667,48.0,121
mnist_sparse_mlp_adam_seed2,2,mnist,sparse,mlp,adam,1000,0.32054266333580017,0.22318116575479507,0.0973614975810051,15.160984712328855,88.66666666666667,57.0,120
mnist_easy_cnn_adam_seed3,3,mnist,easy,cnn,adam,0,0.07084729708731174,0.07084729708731174,0.0,14.779185790838879,122.2,92.0,127
mnist_easy_cnn_adam_seed3,3,mnist,easy,cnn,adam,500,0.09983533248305321,0.07084729708731174,0.028988035395741463,32.442023301988236,122.2,274.0,127
mnist_easy_cnn_adam_seed3,3,mnist,easy,cnn,adam,1000,0.24749237298965454,0.07084729708731174,0.1766450759023428,44.89904490681977,122.2,322.0,105
