observation_space,environment,architecture,checkpoint,task_id,step,loss,final_loss
mnist,easy,mlp,step_1000,0.0,100.0,0.004426972474902868,0.004426972474902868
mnist,easy,mlp,step_1000,1.0,0.0,0.7010043859481812,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,10.0,0.4506831169128418,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,20.0,0.35467109084129333,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,30.0,0.28252556920051575,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,40.0,0.21778042614459991,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,50.0,0.16071420907974243,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,60.0,0.11167736351490021,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,70.0,0.07325440645217896,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,80.0,0.045649707317352295,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,90.0,0.0272284634411335,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,100.0,0.015583100728690624,0.015583100728690624
