seed,observation_space,environment,architecture,width,hidden_dim,cnn_channels,cnn_fc_dim,probe_loss,initial_probe_loss,plasticity_loss
0,mnist,easy,mlp,32,32,64,256,0.3090445548295975,0.2721656411886215,0.03687891364097595
0,mnist,easy,mlp,64,64,64,256,0.2538885176181793,0.12035461515188217,0.13353390246629715
0,mnist,easy,cnn,16,512,16,64,0.1750020682811737,0.10412465408444405,0.07087741419672966
0,mnist,easy,cnn,32,512,32,128,0.03768107667565346,0.014084910042583942,0.023596166633069515
