run_id,seed,observation_space,environment,architecture,optimizer,step,probe_loss,initial_probe_loss,plasticity_loss,weight_norm,dead_units
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,0,7.371778972142806e-05,7.371778972142806e-05,0.0,18.57785371013542,4.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,5000,1.4710256400007892e-05,7.371778972142806e-05,-5.900753332142017e-05,48.23548087031536,162.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,10000,7.822867901988634e-05,7.371778972142806e-05,4.510889298458274e-06,62.927373536447995,231.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,15000,6.142642004856174e-14,7.371778972142806e-05,-7.371778966000164e-05,74.04902560477115,278.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,20000,3.4826117700787464e-09,7.371778972142806e-05,-7.371430710965798e-05,82.56480244812668,308.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,25000,5.064274046917575e-07,7.371778972142806e-05,-7.32113623167363e-05,89.22144359390666,346.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,30000,1.3926032862505078e-08,7.371778972142806e-05,-7.370386368856555e-05,95.34593088849665,382.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,35000,0.000490919688129683,7.371778972142806e-05,0.000417201898408255,100.58941634774979,397.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,40000,0.0008379113186231812,7.371778972142806e-05,0.0007641935289017532,105.2829250396065,413.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,45000,1.4527283974469176e-07,7.371778972142806e-05,-7.357251688168338e-05,109.34569317796435,423.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,50000,1.6529311032322663e-09,7.371778972142806e-05,-7.371613679032483e-05,113.06519507996464,425.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,55000,8.337514531401354e-06,7.371778972142806e-05,-6.53802751900267e-05,116.33275159111507,445.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,60000,2.9286115937747796e-06,7.371778972142806e-05,-7.078917812765328e-05,119.38240711339795,451.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,65000,5.277222477105894e-09,7.371778972142806e-05,-7.371251249895095e-05,122.13982298471676,457.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,70000,2.4964691735810274e-06,7.371778972142806e-05,-7.122132054784703e-05,124.63252092508,472.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,75000,3.669144849760692e-05,7.371778972142806e-05,-3.7026341223821145e-05,127.11505302591047,464.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,80000,8.879400740443778e-05,7.371778972142806e-05,1.5076217683009723e-05,129.34092045352804,469.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,85000,0.00013960643112125276,7.371778972142806e-05,6.58886413998247e-05,131.403084145964,473.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,90000,0.0001229343772930158,7.371778972142806e-05,4.921658757158775e-05,133.57791178016186,472.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,95000,2.3672658926443546e-06,7.371778972142806e-05,-7.135052382878371e-05,135.67761598430008,477.0
mnist_hard_mlp_adam_seed42,42,mnist,hard,mlp,adam,100000,0.000176816635666871,7.371778972142806e-05,0.00010309884594544294,137.5669248858041,477.0
