seed,observation_space,environment,architecture,intervention,probe_loss,initial_probe_loss,plasticity_loss,last_training_loss
0,mnist,easy,vit,neither,0.031373762711882594,0.01443971022963524,0.016934052482247355,0.006540741305798292
0,mnist,easy,vit,two_hot,0.3541462868452072,0.04411178566515446,0.31003450118005277,0.6435058116912842
0,mnist,easy,vit,reset_last_layer,0.0353966161608696,0.014487166050821542,0.020909450110048057,0.00760346744209528
0,mnist,easy,vit,weight_decay,0.034458636119961736,0.027338419295847415,0.007120216824114321,0.032547906041145325
0,mnist,easy,vit,layernorm,0.034965756349265575,0.014439706504344941,0.020526049844920635,0.004524450749158859
0,mnist,easy,vit,z_loss,0.07749415002763271,0.014439704641699792,0.06305444538593293,0.3973886966705322
12,mnist,hard,vit,neither,0.017641006596386434,0.013599172979593278,0.004041833616793156,0.032467350363731384
12,mnist,hard,vit,two_hot,0.09761240854859352,0.044241785630583765,0.05337062291800975,0.6418238878250122
12,mnist,hard,vit,reset_last_layer,0.017695240303874017,0.01371665708720684,0.003978583216667176,0.03029579482972622
12,mnist,hard,vit,weight_decay,0.4973076283931732,0.025606447458267213,0.471701180934906,0.06977111846208572
12,mnist,sparse,vit,neither,0.013338935934007168,0.0136989738792181,-0.00036003794521093264,0.029916174709796906
12,mnist,sparse,vit,two_hot,0.10227523371577263,0.04510394036769867,0.05717129334807396,0.6585240960121155
12,mnist,sparse,vit,reset_last_layer,0.06605898067355156,0.013989819493144751,0.05206916118040682,0.005212608724832535
12,mnist,sparse,vit,weight_decay,0.05685732811689377,0.02677425481379032,0.03008307330310345,0.04739490896463394
