seed,observation_space,environment,architecture,intervention,probe_loss,initial_probe_loss,plasticity_loss,last_training_loss
0,mnist,easy,mlp,neither,0.05814514420926571,6.828797400436388e-08,0.05814507592129171,0.07351164519786835
0,mnist,easy,mlp,two_hot,0.36499000787734986,0.0002858039863895101,0.36470420389096037,0.3055057227611542
0,mnist,easy,mlp,reset_last_layer,0.03490821979939938,6.828797400436388e-08,0.03490815151142537,0.01898026280105114
0,mnist,easy,mlp,weight_decay,0.00046983369702502387,0.0011117258543890784,-0.0006418921573640545,0.03854186087846756
0,mnist,easy,mlp,spectral_norm,5.740957976407834e-06,577.8751708984375,-577.8751651574796,0.004920292645692825
0,mnist,easy,mlp,layernorm,3.7598363284568895e-08,7.235233208591944e-15,3.7598356049335683e-08,0.0018562234472483397
0,mnist,easy,mlp,shrink_and_perturb,0.0001969995464122576,8.29040933660999e-07,0.0001961705054785966,0.0005476154037751257
0,mnist,easy,mlp,z_loss,0.136452566832304,6.828797400436388e-08,0.13645249854433,0.41640961170196533
12,mnist,easy,mlp,neither,0.12299061268568039,0.0002442837095056265,0.12274632897617475,0.08900287747383118
12,mnist,easy,mlp,reset_last_layer,0.03559195585548878,0.0002442837095056265,0.03534767214598315,0.0202229842543602
12,mnist,easy,mlp,weight_decay,0.02454541742827132,0.0003600154504965758,0.024185401977774745,0.02743864804506302
12,mnist,easy,mlp,spectral_norm,8.86016668352474e-06,0.9257621467113495,-0.9257532865446659,0.005929206497967243
12,mnist,easy,mlp,layernorm,2.066660748437088e-08,1.3113240157161553e-14,2.0666594371130724e-08,0.0013471615966409445
12,mnist,easy,mlp,shrink_and_perturb,6.185483469991481e-05,0.0006118683536448166,-0.0005500135189449017,0.00042127608321607113
12,mnist,easy,mlp,z_loss,0.24227368086576462,0.0002442837095056265,0.24202939715625899,0.449955552816391
20,mnist,easy,mlp,neither,0.031967473961412904,0.000752758364605002,0.031214715596807902,0.06927798688411713
20,mnist,easy,mlp,reset_last_layer,0.03125427607446909,0.000752758364605002,0.030501517709864086,0.004021510481834412
20,mnist,easy,mlp,weight_decay,0.00031366659022751263,0.0010931406128293019,-0.0007794740226017892,0.03308407962322235
20,mnist,easy,mlp,spectral_norm,7.59594160043009e-05,46.47086296081543,-46.47078700139943,0.00434114271774888
20,mnist,easy,mlp,layernorm,4.075510536552061e-05,6.955979786651121e-15,4.075510535856463e-05,0.0012763896957039833
20,mnist,easy,mlp,shrink_and_perturb,3.105870710804481e-05,4.861429929260523e-06,2.619727717878429e-05,0.0004713691887445748
20,mnist,easy,mlp,z_loss,0.12025769352912903,0.000752758364605002,0.11950493516452403,0.419748455286026
42,mnist,easy,mlp,neither,0.08130422607064247,3.4516549549343877e-05,0.08126970952109312,0.09036506712436676
42,mnist,easy,mlp,reset_last_layer,0.12337364973500371,3.4516549549343877e-05,0.123339133185454365,0.012582419440150261
42,mnist,easy,mlp,weight_decay,0.000330856526579737,0.0018874887391575612,-0.0015566322125778243,0.027441423386335373
42,mnist,easy,mlp,spectral_norm,6.848355052255784e-05,2.8159564971923827,-2.8158880136418603,0.005377976689487696
42,mnist,easy,mlp,layernorm,1.0184254001996407e-07,0.012236360637849823,-0.012236258795309804,0.0019044243963435292
42,mnist,easy,mlp,shrink_and_perturb,0.0001047102065909189,0.00021291237511865223,-0.00010820216852773333,0.0003301890683360398
42,mnist,easy,mlp,z_loss,0.14340301007032394,3.4516549549343877e-05,0.1433684935207746,0.42161646485328674
