seed,observation_space,environment,architecture,intervention,probe_loss,initial_probe_loss,plasticity_loss,last_training_loss
0,mnist,hard,vit,z_loss,0.04127795733511448,0.013703371770679951,0.027574585564434533,0.10151617228984833
12,mnist,hard,vit,z_loss,0.05012735202908516,0.013599170744419098,0.03652818128466606,0.12820366024971008
20,mnist,hard,vit,z_loss,0.044354145973920824,0.01395882312208414,0.030395322851836683,0.08607229590415955
42,mnist,hard,vit,z_loss,0.03864361867308617,0.014115529134869576,0.024528089538216592,0.09741535037755966
