run_id,seed,observation_space,environment,architecture,optimizer,step,probe_loss,initial_probe_loss,plasticity_loss,weight_norm,dead_units
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,0,0.0012526253075781702,0.0012526253075781702,0.0,18.575525336384455,3.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,5000,6.76941102846218e-06,0.0012526253075781702,-0.001245855896549708,46.34791800533154,173.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,10000,8.407207770069761e-07,0.0012526253075781702,-0.0012517845868011634,61.152918027010685,246.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,15000,2.5393114100327674e-09,0.0012526253075781702,-0.0012526227682667602,72.21888527141532,287.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,20000,4.802733861720333e-09,0.0012526253075781702,-0.0012526205048443086,81.64859034179305,340.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,25000,2.110671123167773e-07,0.0012526253075781702,-0.0012524142404658535,89.34129956645343,373.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,30000,8.526860561737238e-06,0.0012526253075781702,-0.0012440984470164329,96.05005346586654,400.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,35000,0.002944995564791393,0.0012526253075781702,0.0016923702572132228,101.61383259214206,427.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,40000,0.0001370561416863536,0.0012526253075781702,-0.0011155691658918166,106.70806552243144,433.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,45000,0.005531903497042112,0.0012526253075781702,0.004279278189463942,111.35002230766905,443.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,50000,0.0010483468419249854,0.0012526253075781702,-0.00020427846565318486,115.67580434867044,463.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,55000,5.755796879348917e-05,0.0012526253075781702,-0.001195067338784681,119.48972840636075,492.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,60000,2.1475399662789158e-07,0.0012526253075781702,-0.0012524105535815424,122.8565438943897,495.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,65000,8.394290098774594e-07,0.0012526253075781702,-0.0012517858785682928,125.91677095563311,495.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,70000,2.5113896811231053e-05,0.0012526253075781702,-0.0012275114107669393,128.97281810111306,493.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,75000,3.751394994794266e-06,0.0012526253075781702,-0.001248873912583376,131.66741625636837,513.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,80000,0.0003422935319846943,0.0012526253075781702,-0.000910331775593476,134.34828696051432,507.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,85000,3.338036259819322e-05,0.0012526253075781702,-0.001219244944979977,136.7273336905036,507.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,90000,0.00040715650671700136,0.0012526253075781702,-0.0008454688008611689,139.10406003411566,516.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,95000,0.00014815519229287587,0.0012526253075781702,-0.0011044701152852943,141.38505659247485,518.0
mnist_hard_mlp_adam_seed20,20,mnist,hard,mlp,adam,100000,7.885762693149445e-05,0.0012526253075781702,-0.0011737676806466758,143.36687251637358,519.0
