seed,observation_space,environment,architecture,intervention,probe_loss,initial_probe_loss,plasticity_loss,last_training_loss
0,mnist,hard,mlp,z_loss,0.08627667427062988,0.000876451741604073,0.08540022252902581,0.07262352108955383
12,mnist,hard,mlp,z_loss,0.044962748885154724,0.00024946392820560624,0.044713284956949116,0.09154188632965088
20,mnist,hard,mlp,z_loss,0.056433788314461705,3.8346811724149826e-05,0.05639544150273756,0.07633239030838013
42,mnist,hard,mlp,z_loss,0.03777979332953692,0.00019042739211843108,0.03758936593741849,0.0931553915143013
