seed,observation_space,environment,architecture,intervention,probe_loss,initial_probe_loss,plasticity_loss,last_training_loss
0,mnist,hard,vit,z_loss,0.023331625387072563,0.013703376427292824,0.009628248959779739,0.181594580411911
12,mnist,hard,vit,z_loss,0.024765321612358095,0.013599199987947942,0.011166121624410153,0.19690324366092682
20,mnist,hard,vit,z_loss,0.02432884555310011,0.013958821445703507,0.010370024107396602,0.18730895221233368
42,mnist,hard,vit,z_loss,0.023464608751237393,0.0141155194491148,0.009349089302122594,0.2431149035692215
