run_id,seed,observation_space,environment,architecture,optimizer,step,probe_loss,initial_probe_loss,plasticity_loss,weight_norm,weight_rank,dead_units,feature_rank
mnist_easy_mlp_adam_seed0,0,mnist,easy,mlp,adam,0,0.49993696808815,0.43091315031051636,0.06902381777763367,4.958016493614822,24.666666666666668,5.0,15.0
mnist_easy_mlp_adam_seed0,0,mnist,easy,mlp,adam,10,0.429990291595459,0.43091315031051636,-0.000922858715057373,4.992951557965167,24.666666666666668,22.0,15.0
mnist_easy_mlp_adam_seed0,0,mnist,easy,mlp,adam,20,0.4272242486476898,0.43091315031051636,-0.003688901662826538,5.058991437177609,24.666666666666668,23.0,15.0
mnist_hard_cnn_adam_seed1,1,mnist,hard,cnn,adam,0,0.4951947331428528,0.4612623155117035,0.03393241763114929,14.75673895651532,122.2,124.0,15.0
mnist_hard_cnn_adam_seed1,1,mnist,hard,cnn,adam,10,0.43129879236221313,0.4612623155117035,-0.029963523149490356,17.46627780924604,122.2,366.0,15.0
mnist_hard_cnn_adam_seed1,1,mnist,hard,cnn,adam,20,0.46468210220336914,0.4612623155117035,0.0034197866916656494,19.178559927319387,122.2,373.0,15.0
