observation_space,environment,architecture,checkpoint,task_id,step,loss,final_loss
cifar10,easy,mlp,step_0,0.0,0.0,0.49538570642471313,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,50.0,0.44225746393203735,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,100.0,0.3581264913082123,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,150.0,0.2931370735168457,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,200.0,0.24620890617370605,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,250.0,0.20460930466651917,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,300.0,0.1672350913286209,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,350.0,0.14413198828697205,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,400.0,0.12974070012569427,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,450.0,0.12554214894771576,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,500.0,0.09621943533420563,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,550.0,0.12895572185516357,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,600.0,0.076278455555439,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,650.0,0.07656744867563248,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,700.0,0.06344981491565704,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,750.0,0.05728952959179878,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,800.0,0.08604402095079422,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,850.0,0.04636600241065025,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,900.0,0.04640099033713341,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,950.0,0.03654886782169342,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1000.0,0.05111143738031387,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1050.0,0.03723812848329544,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1100.0,0.03116360306739807,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1150.0,0.04251749441027641,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1200.0,0.0384821891784668,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1250.0,0.04445113241672516,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1300.0,0.02486925944685936,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1350.0,0.022841328755021095,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1400.0,0.018434304744005203,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1450.0,0.020019231364130974,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1500.0,0.025707675144076347,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1550.0,0.014963189139962196,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1600.0,0.014778288081288338,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1650.0,0.020330777391791344,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1700.0,0.04496457055211067,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1750.0,0.013278069905936718,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1800.0,0.01226383913308382,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1850.0,0.036334168165922165,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1900.0,0.03301656246185303,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,1950.0,0.02348094992339611,0.01512729562819004
cifar10,easy,mlp,step_0,0.0,2000.0,0.01512729562819004,0.01512729562819004
cifar10,easy,mlp,step_0,1.0,0.0,0.5031346678733826,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,50.0,0.4424358308315277,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,100.0,0.3670116364955902,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,150.0,0.3152267634868622,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,200.0,0.25854524970054626,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,250.0,0.2219623327255249,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,300.0,0.19367347657680511,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,350.0,0.17691366374492645,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,400.0,0.1384590119123459,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,450.0,0.12678685784339905,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,500.0,0.12331632524728775,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,550.0,0.09501859545707703,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,600.0,0.08833926916122437,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,650.0,0.092936672270298,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,700.0,0.06772344559431076,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,750.0,0.08577275276184082,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,800.0,0.05502260848879814,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,850.0,0.061163414269685745,0.022685732692480087
cifar10,easy,mlp,step_0,1.0,900.0,0.04903576523065567,0.022685732692480087
